"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2024","82.95","84.50","84.50","82.90","0.28K","-3.01%"
"06/14/2024","85.52","85.60","86.91","84.21","0.26K","-1.03%"
"06/13/2024","86.42","87.70","88.50","86.00","0.35K","0.93%"
"06/12/2024","85.62","84.50","86.75","84.50","0.16K","3.38%"
"06/11/2024","82.83","84.60","84.60","82.55","0.09K","-0.53%"
"06/10/2024","83.26","79.81","83.40","78.75","0.33K","3.32%"
"06/07/2024","80.59","80.50","81.57","80.37","0.40K","-2.27%"
"06/06/2024","82.47","80.75","83.25","80.70","0.20K","1.19%"
"06/05/2024","81.50","82.80","84.15","81.24","0.58K","-1.34%"
"06/04/2024","82.61","88.90","89.10","82.42","0.83K","-6.86%"
"06/03/2024","88.69","88.03","94.90","88.03","0.70K","5.75%"
"05/31/2024","83.87","85.60","87.50","83.90","0.17K","-3.53%"
"05/30/2024","86.94","84.20","87.38","82.76","0.35K","3.30%"
"05/29/2024","84.16","83.70","84.80","82.20","0.19K","1.18%"
"05/28/2024","83.18","85.00","85.00","82.75","0.22K","-1.47%"
"05/24/2024","84.42","85.25","85.65","83.22","0.41K","-3.59%"
"05/23/2024","87.56","85.00","89.45","85.00","0.68K","3.03%"
"05/22/2024","84.99","83.50","86.00","82.80","1.08K","4.01%"
"05/21/2024","81.71","79.00","82.11","78.00","0.34K","3.59%"
"05/20/2024","78.88","79.05","79.60","78.75","0.18K","2.90%"
"05/17/2024","76.66","76.20","77.17","75.70","0.43K","1.61%"
"05/16/2024","75.44","73.60","76.25","73.60","0.56K","1.72%"
"05/15/2024","74.16","75.24","76.00","73.64","0.54K","-0.24%"
"05/14/2024","74.34","73.83","74.99","73.50","0.55K","0.66%"
"05/13/2024","73.85","74.00","74.90","73.25","0.40K","-1.65%"
"05/10/2024","75.08","77.69","78.45","74.32","0.60K","-3.16%"
"05/09/2024","77.53","76.75","78.71","76.50","0.70K","1.01%"
"05/08/2024","76.76","76.65","77.87","76.00","0.90K","-1.31%"
"05/07/2024","77.78","80.20","80.25","76.95","0.54K","1.56%"
"05/03/2024","76.58","77.60","78.98","75.50","0.56K","-0.85%"
"05/02/2024","77.24","71.59","77.70","71.59","0.49K","7.31%"
"05/01/2024","71.98","74.03","74.03","71.34","0.55K","-1.35%"
"04/30/2024","72.96","71.00","73.70","70.99","0.29K","4.27%"
"04/29/2024","69.98","71.30","71.30","69.72","0.44K","-4.03%"
"04/26/2024","72.92","74.90","74.90","72.91","0.47K","-2.76%"
"04/25/2024","74.98","75.00","77.75","74.77","0.55K","2.22%"
"04/24/2024","73.36","73.25","74.53","71.50","0.44K","2.00%"
"04/23/2024","71.92","75.57","75.59","71.99","0.39K","-3.45%"
"04/22/2024","74.49","75.80","77.18","74.00","0.20K","-3.94%"
"04/19/2024","77.55","83.75","83.75","77.36","0.63K","-4.59%"
"04/18/2024","81.28","77.75","81.80","77.00","0.68K","3.38%"
"04/17/2024","78.62","83.01","83.35","78.40","0.69K","-5.72%"
"04/16/2024","83.39","80.50","84.63","80.50","0.53K","6.15%"
"04/15/2024","78.56","76.00","79.40","75.70","0.58K","0.93%"
"04/12/2024","77.83","75.68","78.10","74.00","0.90K","4.02%"
"04/11/2024","74.83","70.75","75.45","70.75","1.30K","8.35%"
"04/10/2024","69.06","70.80","70.80","68.60","0.43K","-0.80%"
"04/09/2024","69.62","71.69","72.39","69.35","0.80K","-1.84%"
"04/08/2024","70.93","67.87","71.35","67.21","0.56K","4.95%"
"04/05/2024","67.58","67.10","68.20","66.58","0.62K","1.60%"
"04/04/2024","66.52","65.90","67.00","65.11","0.88K","2.70%"
"04/03/2024","64.77","64.75","65.62","64.00","1.29K","-1.83%"
"04/02/2024","65.98","68.50","68.75","65.75","0.47K","-3.95%"
"03/28/2024","68.69","69.25","69.25","68.46","0.43K","-0.78%"
"03/27/2024","69.23","68.85","69.10","67.87","0.33K","0.94%"
"03/26/2024","68.59","70.40","71.15","68.28","0.32K","-5.09%"
"03/25/2024","72.26","72.52","73.40","71.50","0.17K","2.55%"
"03/22/2024","70.46","69.50","70.75","69.35","0.32K","5.00%"
"03/21/2024","67.11","68.75","69.00","66.80","0.26K","-4.04%"
"03/20/2024","69.94","71.50","72.11","69.27","0.87K","-3.47%"
"03/19/2024","72.45","74.00","74.00","70.19","0.68K","0.37%"
"03/18/2024","72.18","71.30","72.64","70.50","0.85K","7.22%"
"03/15/2024","67.32","65.12","67.60","65.12","0.21K","3.80%"
